Bergman, Carolus (1734-1802);Bergman, Carolus (1767-1802)
Borgström, Johannes (1723-1785);Borgström, Johannes (1808-1785);Borgström, Johannes (1785-1808)
Brofeldt, Pekka (1864-1945);Brofeldt, Pekka (1884-1945)
Ekerman, Petrus (1697-1783);Ekerman, Petrus (1783-1783)
Frosterus, Eric Johan (1776-1826);Frosterus, Ericus Johannes (1773-1826);Frosterus, Ericus Johannes (1776-1826)
Helsingius, Georgius Marci (1662-1741);Helsingius, Georgius Marci (1764-1741)
Pacchalenius, Andreas Andreae (1679-1735);Pacchalenius, Andreas Andreae (1704-1735)
Radloff, Fredrik Wilhelm (1765-1838);Radloff, Fredrik Wilhelm (1766-1838)
Wrigstadius, Jonas Jonae (1692-1746);Wrigstadius, Jonas Jonae (1711-1746)
Arctopolitanus, Gabriel Gregorii (1630-1682);Arctopolitanus, Gabriel Gregorii (1682-NA);Arctopolitanus, Gabriel Gregorii (1730-NA);Arctopolitanus, Gregorius Gabrielis (1672-1745);Arctopolitanus, Petrus Gabrielis (1670-1698)
Honorable Member Of The House Of Commons;Honourable Member Of The House Of Commons
My Friend A Physician;My Friend, A Physician
Philalethes;Philalathes
Scotsman;Scotchman
Your Fellow Citizen;Your Fellow-citizen
Adams, John (1735-1826);Adams, John (1735-1826)
Adams, John (1750-1814);Adams, John (1750-1814)
Alexander, William (1685-1704);Alexander, William (1685-1704)
Alexander, William (NA-1783);Alexander, William (1726-1783);Alexander, William (NA-1783)
Allen, John (1741-1774);Allen, John (active 1741-1774);Allen, John (1741-1774)
Allen, John (1763-1812);Allen, John (1763-1812)
Allen, John (NA-NA);Allen, John (???NA-NA);Allen, John (NA-NA)
Anderson, Adam (1692-1715);Anderson, Adam (1692-1765);Anderson, Adam (1692-1715)
Anderson, James (1589-NA);Anderson, James (???1589-NA);Anderson, James (1589-NA)
Anderson, James (1662-1728);Anderson, James (1662-1728)
Anderson, James (1680-1739);Anderson, James (1680-1739)
Anderson, James (1739-1808);Anderson, James (1739-1808)
Armstrong, John (1771-1758);Armstrong, John (1771-1797);Armstrong, John (1771-1758)
Bagshaw, Edward (1629-1662);Bagshaw, Edward (1629-1671);Bagshaw, Edward (1629-1662)
Barker, John (1600-1699);Barker, John (active during 1600-1699);Barker, John (1600-1699)
Barker, John (1708-1748);Barker, John (1708-1748)
Barker, John (NA, NA);Barker, John (???NA, NA);Barker, John (NA, NA)
Bingley, William (1738-1799);Bingley, William (1738-1799)
Birch, Thomas (1755-1766);Birch, Thomas (1705-1766);Birch, Thomas (1755-1766)
Black, William (1749-1745);Black, William (1749-1829);Black, William (1749-1745)
Brown, Andrew (1679-1706);Brown, Andrew (active 1679-1706);Brown, Andrew (1679-1706)
Brown, Andrew (1744-1797);Brown, Andrew (1744-1797)
Brown, Andrew (1763-1834);Brown, Andrew (1763-1834)
Browne, John (1580-1659);Browne, John (1580-1659)
Browne, John (1642-1700);Browne, John (1642-1700)
Browne, John (NA-NA);Browne, John (NA-NA)
Browne, Thomas (1604-1673);Browne, Thomas (1604-1673)
Browne, Thomas (1605-1682);Browne, Thomas (1605-1682)
Browne, Thomas (1654-1741);Browne, Thomas (1654-1741)
Browne, Thomas (NA-NA);Browne, Thomas (NA-NA)
Brown, John (1610-1679);Brown, John (1610-1679)
Brown, John (1715-1766);Brown, John (1715-1766)
Brown, John (1722-1787);Brown, John (1722-1787)
Brown, John (1735-1788);Brown, John (1735-1788)
Brown, John (NA, NA);Brown, John (NA, NA)
Brown, Thomas (1663-1704);Brown, Thomas (1663-1704)
Brown, Thomas (1740-1704);Brown, Thomas (???1740-1704);Brown, Thomas (1740-1704)
Burnet, Gilbert (1643-1715);Burnet, Gilbert (1643-1715)
Burnet, Gilbert (1690-1726);Burnet, Gilbert (1690-1726)
Burnet, Thomas (1635-1715);Burnet, Thomas (1635-1715)
Burnet, Thomas (1694-1753);Burnet, Thomas (1694-1753)
Burney, Charles (1726-1814);Burney, Charles (1726-1814)
Burney, Charles (1757-1817);Burney, Charles (1757-1817)
Camm, John (1604-1656);Camm, John (1604-1656)
Camm, John (1718-1778);Camm, John (1718-1778)
Campbell, John (1733-1775);Campbell, John (???1733-1775);Campbell, John (1733-1775)
Campbell, John (NA-1775);Campbell, John (1708-1775);Campbell, John (NA-1775)
Cervantes Saavedra, Miguel De (1547-1616);Cervántes Saavedra, Miguel De (1547-1616);Cervantes Saaevedra, Miguel De;Cervantes Saavedra, M. De (1547-1616);Cervantes Saavedra, Michael De;Cervantes Saavedra, Michel Di;Cervantes Saavedra, Miguel De (1547-1616);Cervantes Saavedra, Miguel De (1547-1818);Cervantes Saavedra, Miguel De (1547-NA);Cervantes Y Saavedra, Miguel De (1547-1616);Cervantes, Mich. De;Cervantes, Michel De;Cervantes, Migu. De;Cervantes, Miguel De;Saavedra, Miguel De Cervantes
Chaloner, Thomas (1521-1565);Chaloner, Thomas (1521-1565)
Chaloner, Thomas (1595-1661);Chaloner, Thomas (1595-1661)
Church, Benjamin (1639-1718);Church, Benjamin (1639-1718)
Church, Benjamin (1734-1778);Church, Benjamin (1734-1778)
Clarke, John (1596-1658);Clarke, John (1596-1658)
Clarke, John (1609-1676);Clarke, John (1609-1676)
Clarke, John (1755-1798);Clarke, John (1755-1798)
Clarke, John (1791-NA);Clarke, John (???1791-NA);Clarke, John (1791-NA)
Clarke, Samuel (1599-1682);Clarke, Samuel (1599-1682)
Clarke, Samuel (1675-1729);Clarke, Samuel (1675-1729)
Clarke, Samuel (1721-NA);Clarke, Samuel (1721-NA)
Clarke, William (1696-1771);Clarke, William (1696-1771)
Clarke, William (1709-1760);Clarke, William (1709-1760)
Cole, William (1616-1653);Cole, William (1616-1698);Cole, William (1616-1653)
Comber, Thomas (1645-1699);Comber, Thomas (1645-1699)
Comber, Thomas (1645-1778);Comber, Thomas (???1645-1778);Comber, Thomas (1645-1778)
Cooke, Edward (1755-1820);Cooke, Edward (1755-1820)
Cooke, Edward (active 1658-1670);Cooke, Edward (active 1658-1670)
Cooke, Edward (NA-1684);Cooke, Edward (1622-1684);Cooke, Edward (NA-1684)
Cooke, Edward (NA-NA);Cooke, Edward (NA-NA)
Cotton, John (1584-1652);Cotton, John (1584-1652)
Cotton, John (1640-1699);Cotton, John (1640-1699)
Cotton, John (1712-1789);Cotton, John (1712-1789)
Cox, Richard (1650-1733);Cox, Richard (1650-1733)
Cox, Richard (1702-1766);Cox, Richard (1702-1766)
Crouch, Nathaniel (1632-1752);Crouch, Nathaniel (1632-1725);Crouch, Nathaniel (1632-1752)
Crowe, William (1745-1829);Crowe, William (1745-1829)
Crowe, William (NA-1743);Crowe, William (1691-1743);Crowe, William (NA-1743)
Daniel, Samuel (1562-1619);Daniel, Samuel (1562-1619)
Daniel, Samuel (1600-1699);Daniel, Samuel (active during 1600-1699);Daniel, Samuel (1600-1699)
Davies, John (1569-1626);Davies, John (1569-1626)
Davies, John (1625-1693);Davies, John (1625-1693)
Day, Thomas (1583-1789);Day, Thomas (active 1583-1583);Day, Thomas (1583-1789)
Day, Thomas (1748-1789);Day, Thomas (1748-1789)
Dickinson, Jonathan (1663-1722);Dickinson, Jonathan (1663-1722)
Dickinson, Jonathan (1688-1747);Dickinson, Jonathan (1688-1747)
Disney, John (1677-1730);Disney, John (1677-1730)
Disney, John (1746-1816);Disney, John (1746-1816)
Downes, John (1661-1719);Downes, John (1661-1719)
Downes, John (1666-NA);Downes, John (1609-1666);Downes, John (1666-NA)
Downes, John (1691-1760);Downes, John (1691-1760)
Du Moulin, Lewis (1606-1674);Du Moulin, Lewis (1606-1680);Du Moulin, Lewis (1606-1674)
Duncan, Alexander (1708-1816);Duncan, Alexander (1708-1795);Duncan, Alexander (1708-1816)
Edwards, Thomas (1599-1647);Edwards, Thomas (1599-1647)
Edwards, Thomas (1693-1699);Edwards, Thomas (active 1693-1699);Edwards, Thomas (1693-1699)
Edwards, Thomas (1699-1757);Edwards, Thomas (1699-1757)
Edwards, Thomas (1729-1785);Edwards, Thomas (1729-1785)
Edwards, Thomas (1776-1810);Edwards, Thomas (1776-1810)
Elder, John (1542-1565);Elder, John (1555-1779);Elder, John (active 1542-1565);Elder, John (1542-1565)
Elder, John (1692-1779);Elder, John (1692-1779)
Eliot, John (1592-1632);Eliot, John (1592-1632)
Eliot, John (1604-1690);Eliot, John (1604-1690)
Ellis, John (1606-1681);Ellis, John (1606-1681)
Ellis, John (1689-1768);Ellis, John (1689-1768)
Ellis, John (1710-1776);Ellis, John (1710-1776)
Essex, Robert Devereux (1566-1601);Essex, Robert Devereux (1566-1601)
Essex, Robert Devereux (1591-1646);Essex, Robert Devereux (1591-1646)
Evelyn, John (1620-1706);Evelyn, John (1620-1706)
Evelyn, John (1655-1699);Evelyn, John (1655-1699)
Fitch, John (1698-NA);Fitch, John (1698-1798);Fitch, John (active 1698-1698);Fitch, John (1698-NA)
Fitch, John (1743-1798);Fitch, John (1743-1798)
Fleetwood, William (1535-1594);Fleetwood, William (1535-1594)
Fleetwood, William (1656-1723);Fleetwood, William (1656-1723)
Fleming, Robert (1630-1694);Fleming, Robert (1630-1694)
Fleming, Robert (1660-1716);Fleming, Robert (1660-1716)
Forbes, Duncan (1644-1704);Forbes, Duncan (1644-1704)
Forbes, Duncan (1685-1747);Forbes, Duncan (1685-1747)
Fox, George (1624-1661);Fox, George (1624-1691);Fox, George (1624-1661)
Fox, William (1736-1826);Fox, William (1736-1826)
Fox, William (1791-1813);Fox, William (active 1791-1813);Fox, William (1791-1813)
Fox, William (NA-NA);Fox, William (???NA-NA);Fox, William (NA-NA)
Franklin, William (1600-1699);Franklin, William (active during 1600-1699);Franklin, William (1600-1699)
Franklin, William (1731-1813);Franklin, William (1731-1813)
Gage, Thomas (1603-1656);Gage, Thomas (1603-1656)
Gage, Thomas (1721-1787);Gage, Thomas (1721-1787)
Gardiner, James (1637-1705);Gardiner, James (1637-1705)
Gardiner, James (1637-1723);Gardiner, James (???1637-1723);Gardiner, James (1637-1723)
Gardiner, James (1637-NA);Gardiner, James (???1637-NA);Gardiner, James (1637-NA)
Gilbert, Thomas (1613-1694);Gilbert, Thomas (1613-1694)
Gilbert, Thomas (1720-1798);Gilbert, Thomas (1720-1798)
Goodwin, Thomas (1587-1642);Goodwin, Thomas (1587-1642)
Goodwin, Thomas (1600-1680);Goodwin, Thomas (1600-1680)
Goodwin, Thomas (1650-1716);Goodwin, Thomas (1650-1716)
Gordon, Alexander (1669-1752);Gordon, Alexander (1669-1752)
Gordon, Alexander (1692-1754);Gordon, Alexander (1692-1754)
Gordon, John (1544-1619);Gordon, John (1544-1619)
Gordon, John (1715-1775);Gordon, John (1715-1775)
Gordon, John (1717-1790);Gordon, John (1717-1790)
Gordon, John (NA-NA);Gordon, John (???NA-NA);Gordon, John (NA-NA)
Gordon, William (1700-1799);Gordon, William (active during 1700-1799);Gordon, William (1700-1799)
Gordon, William (1728-1807);Gordon, William (1728-1807)
Gray, Robert (1500-1699);Gray, Robert (active during 1500-1699);Gray, Robert (1500-1699)
Gray, Robert (1762-1834);Gray, Robert (1762-1834)
Greene, Robert (1558-1592);Greene, Robert (1558-1592)
Greene, Robert (1678-1730);Greene, Robert (1678-1730)
Hale, John (1762-1806);Hale, John (1762-1796);Hale, John (1762-1806)
Hales, Edward (1576-1654);Hales, Edward (1576-1654)
Hales, Edward (1670-1690);Hales, Edward (1670-1690)
Hamilton, Charles (1738-1800);Hamilton, Charles (1738-1800)
Hamilton, Charles (1753-1792);Hamilton, Charles (1753-1792)
Harrington, James (1611-1677);Harrington, James (1611-1677)
Harrington, James (1664-1693);Harrington, James (1664-1693)
Harris, John (1647-NA);Harris, John (active 1647-1647);Harris, John (1647-NA)
Harris, John (1667-1719);Harris, John (1667-1719)
Harris, John (1670-NA);Harris, John (???1670-NA);Harris, John (1670-NA)
Harris, John (1680-1738);Harris, John (1680-1738)
Harris, John (1690-NA);Harris, John (???1690-NA);Harris, John (1690-NA)
Harris, John (NA-NA);Harris, John (???NA-NA);Harris, John (NA-NA)
Harrison, John (1610-1638);Harrison, John (active 1610-1638);Harrison, John (1610-1638)
Harrison, John (1610-1698);Harrison, John (NA-1698);Harrison, John (1610-1698)
Harrison, John (1610-NA);Harrison, John (1610-NA)
Harris, Walter (1600-1799);Harris, Walter (active during 1600-1799);Harris, Walter (1600-1799)
Harris, Walter (1686-1761);Harris, Walter (1686-1761)
Hartley, David (1705-1757);Hartley, David (1705-1757)
Hartley, David (1731-1813);Hartley, David (1731-1813)
Holland, John (1603-1722);Holland, John (1603-1701);Holland, John (1603-1722)
Hollingworth, Richard (1607-1656);Hollingworth, Richard (1607-1656)
Hollingworth, Richard (1639-1701);Hollingsworth, Richard (1639-1701);Hollingworth, Richard (1639-1701)
Horton, Thomas (NA-1649);Horton, Thomas (???NA-1649);Horton, Thomas (NA-1649)
Horton, Thomas (NA-1673);Horton, Thomas (???NA-1673);Horton, Thomas (NA-1673)
Hume, David (1560-1630);Hume, David (1560-1630)
Hume, David (1711-1776);Hume, David (1711-1776)
Humphreys, David (1689-1740);Humphreys, David (1689-1740)
Humphreys, David (1752-1818);Humphreys, David (1752-1818)
Hunter, William (1700-1899);Hunter, William (active during 1700-1899);Hunter, William (1700-1899)
Hunter, William (1755-1812);Hunter, William (1755-1812)
Hutchinson, William (1676-1679);Hutchinson, William (active 1676-1679);Hutchinson, William (1676-1679)
Hutchinson, William (1732-1814);Hutchinson, William (1732-1814)
Jackson, John (1651-1657);Jackson, John (active 1651-1657);Jackson, John (1651-1657)
Jackson, John (1686-1763);Jackson, John (1686-1763)
Jackson, John (1742-NA);Jackson, John (???1742-NA);Jackson, John (1742-NA)
Jackson, John (1795-1810);Jackson, John (active 1795-1810);Jackson, John (1795-1810)
Jackson, William (1730-1803);Jackson, William (1730-1803)
Jackson, William (1737-1795);Jackson, William (1737-1795)
Jenkins, Joseph (1702-1736);Jenkins, Joseph (active 1702-1736);Jenkins, Joseph (1702-1736)
Jenkins, Joseph (1743-1819);Jenkins, Joseph (1743-1819)
Johnson, R (1734-1793);Johnson, R (1772-1793);Johnson, Richard (1734-1793);Johnson, R (1734-1793)
Johnson, Richard (1573-1659);Johnson, Richard (1573-1659)
Johnson, Richard (1600-1699);Johnson, Richard (active during 1600-1699);Johnson, Richard (1600-1699)
Johnson, Robert (1586-1626);Johnson, Robert (active 1586-1626);Johnson, Robert (1586-1626)
Johnson, Robert (1600-1699);Johnson, Robert (active during 1600-1699);Johnson, Robert (1600-1699)
Johnson, Samuel (1649-1703);Johnson, Samuel (1649-1703)
Johnson, Samuel (1696-1772);Johnson, Samuel (1696-1772)
Johnson, Samuel (1709-1784);Johnson, Samuel (1709-1784)
Johnson, William (1600-1699);Johnson, William (active during 1600-1699);Johnson, William (1600-1699)
Johnson, William (1715-1774);Johnson, William (1715-1774)
Johnson, William (1760-1845);Johnson, William (1760-1845)
Johnston, James (1643-1737);Johnston, James (1643-1737)
Johnston, James (1655-1737);Johnston, James (1655-1737)
Jones, David (1676-1720);Jones, David (active 1676-1720);Jones, David (1676-1720)
Jones, David (1736-1820);Jones, David (1736-1820)
Jones, Edward (1752-1824);Jones, Edward (1752-1824)
Jones, Edward (1771-1831);Jones, Edward (active 1771-1831);Jones, Edward (1771-1831)
Jones, John (1645-1709);Jones, John (1645-1709)
Jones, John (1700-1770);Jones, John (1700-1770)
